Person Name,VIAF ID,Aliases
Dean Copping,14626888,Dean Copping
Charles Calvert,14631514,Charles Calvert
Edward Hughes,14637261,Edward Hughes
Thomas Onslow,14644323,Thomas Onslow
Richard Davies,14671283,Richard Davies
John White,14691576,John White
John White Virginia,47651257,Mr. John White; Whites; Mr. White
Charles Condamine,14772060,Charles Maria de La Condamine
Jean Baptiste Hamel,14779364,J B du Hamel; Jean-Baptiste Du Hamel
Antonio de Ulloa,14789424,Antonio de Ulloa
William Seward,14793378,William Seward
Jacob Bernoulli,14793931,Jakob Bernoulli; Jacob Bernoulli
Jean Rodolphe Perronet,14798553,Mr Perronet; Mr. Perronet; Jean Rodolphe Perronet
John Gregory,14799615,John Gregory
William Wotton,14804235,William Wotton
Thomas Stanley,14814119,Thomas Stanley
Alexander Monro,14876201,Alexander Monro
Daniel Charles Solander,14901383,Daniel Charles Solander
Frederik Ruysch,14937238,Frederik Ruysch; Dr. Ruysch; Friedrich Ruysch
Philip Wouwerman,15040910,Woyens
Edward Tyson,15117589,Edw. Tyson; Edward Tyson
Ambrose Godfrey-Hanckwitz,15141474,Ambrose Godfrey-Hanckwitz; Ambrose Godfrey Sr.; Mr Godfrey; Mr Godfry; Mr. Godfrey; Mr. Godfry; Mr. Ambrose Godfry Hanckewitz
Benjamin Keene,15141636,Benjamin Keene
Louis Leon Pajot,15552397,Louis Leon Pajot; Mr Pajot
Giambattista Albertini,15610538,Giambattista Albertini
Georg Andreas Agricola,15665190,George Andre Agricola; Georg Andreas Agricola
Sir Charles Wager,15716435,Sir Charles Wager; Sr. Charles Wager
Bernard Connor,15859805,Dr. Connor; Bernard Connor
Charles Fay,15863258,Charles François de Cisternay du Fay
Christophe Albemarle,16196881,Christopher Duke of Albemarle; D. of Albemarle; Duke of Albemarle
John Douglas,16197107,John Douglas
William Cavendish Earl Devonshire,16203838,William Cavendish
Charles Bodvile Robartes,16249061,Charles Bodvile Robartes; Charles Bodvill Robartes
Naphthali Franks,16304279,Naphthali Franks
George Cholmondeley,16783793,George Cholmondeley
Richard Green,17081533,Richard Green
Philip Bisse,17094576,Philip Bisse
Edmund King,17118124,Edmund King; Edmond King; Sr Edmund King; Sr. Edmund Kings
Étienne Geoffroy,17213123,Etienne Francois Geoffroy; Mons. Geofroy; Étienne François Geoffroy
Van Dyck,17231738,Vandike; Van Dyck; Vandyke
Horatio Walpole,17231985,Horatio Walpole
Arthur Lee,17232714,Arthur Lee
Alexander Cruden,17237181,Alexander Cruden
John Wilkins,17251152,John Wilkins
Guido Grandi,17258330,Guidonis Grandi; Guido Grandi
Olaus Rudbeck,17261560,Olof Rudbeck; Olaus Rudbeck
Stephen Hales,17266522,Stephen Hales
Henri Dran,17277670,Henri Francois Le Dran
Denis Dodart,17320058,M. Dodart; Denis Dodart
Jean Pecquet,17355999,M. Pecquet; Jean Pecquet
Christoph Jacob Trew,17366406,Christopher Jacob Trew; Christoph Jacob Trew
Christfried Kirch,17427540,Christfried Kirch
James Parsons,17440889,James Parsons
Francois Croix,17446949,Francois Boissier Sauvages de la Croix
Ottavio Antonio Bayardi,17459259,Ottavio Antonio Bayardi
Michael Poniatowski,17525359,Michael Poniatowski
Charles Alston,17561749,Charles Alston
James Murray,17571331,James Murray
Thomas Murray,95883212,Thomas Murray; Mr. Murray; Mr Murray
Thomas Short,17571781,Thomas Short; Dr. Short
Thomas Tennison,69084741,Thomas Tennison Lord. Archbishop of Canterbury; Archbishop of Canterbury
William Courtney,,Willi: courtney
Fielder the Vintner,,Fielder the Vintner
John Fisher,266081375,Bp of Rochester; Fisher The B? p of Rochester
Gustaf Harmens,17616048,Gustaf Harmens
Abraham Vater,17997690,Abrahamo Vater; Abraham Vater
David de Gorter,18002661,David de Gorter
Alexander Russell,18003738,Alexander Russell
Charles Townshend,18033780,Ld Peterborough; Charles Townshend
John Henley,18100406,John Henley
James Mounsey,18155373,James Mounsey
Ferdinand Philip Lobkowitz,18337021,Ferdinand Philip Lobkowitz
John Bridges,18431861,John Bridges
Anthony Deane,18581471,Anthony Deane
Daniel Turner,18636408,Daniel Turner
James Hoare,18647172,James Hoare
